id,repdem,libcon
15878,Republican (Weakly Republican),Moderate
15883,Democrat (Strongly Democratic),Liberal
15905,Democrat (Weakly Democratic),Liberal
15909,Independent,Slightly conservative
15912,Democrat (Strongly Democratic),Liberal
15913,Democrat (Strongly Democratic),Slightly conservative
15914,Democrat (Strongly Democratic),Extremely liberal
15921,Independent (Lean toward the Democratic Party),Slightly liberal
15922,Independent (Lean toward the Democratic Party),Slightly liberal
15925,Independent (Lean toward the Democratic Party),Slightly liberal
15926,Democrat (Weakly Democratic),Slightly liberal
15929,Independent (Lean toward the Republican Party),Conservative
15933,Independent,Liberal
15934,Democrat (Strongly Democratic),Extremely liberal
15938,Democrat (Weakly Democratic),Moderate
15945,Republican (Strongly Republican),Conservative
15948,Independent,Moderate
15951,Independent,Moderate
15952,Democrat (Strongly Democratic),Liberal
15959,Independent (Lean toward the Democratic Party),Liberal
15966,Independent (Lean toward the Democratic Party),Liberal
15970,Republican (Strongly Republican),Conservative
15972,Democrat (Weakly Democratic),Slightly liberal
15975,Democrat (Strongly Democratic),Liberal
15978,Independent (Lean toward the Democratic Party),Moderate
15982,Democrat (Strongly Democratic),Extremely liberal
15999,Republican (Weakly Republican),Moderate
16002,Independent,Moderate
16003,Independent (Lean toward the Democratic Party),Moderate
16004,Democrat (Weakly Democratic),Slightly liberal
16006,Democrat (Strongly Democratic),Liberal
16013,Independent (Lean toward the Democratic Party),Extremely liberal
16021,Republican (Strongly Republican),Conservative
16024,Independent (Lean toward the Democratic Party),Slightly conservative
16028,Republican (Strongly Republican),Moderate
16033,Independent,Moderate
16037,Independent (Lean toward the Democratic Party),Slightly liberal
16041,Democrat (Strongly Democratic),Extremely liberal
16051,Independent,Slightly conservative
16054,Democrat (Strongly Democratic),Extremely liberal
16057,Democrat (Weakly Democratic),Liberal
16061,Democrat (Strongly Democratic),Extremely liberal
16062,Republican (Strongly Republican),Conservative
16083,Independent (Lean toward the Democratic Party),Liberal
16086,Independent,Moderate
16088,Democrat (Strongly Democratic),Extremely liberal
16092,Democrat (Strongly Democratic),Moderate
16102,Independent (Lean toward the Democratic Party),Liberal
16104,Independent,Moderate
16105,Independent (Lean toward the Democratic Party),Liberal
16109,Democrat (Strongly Democratic),Liberal
16112,Independent (Lean toward the Democratic Party),Slightly liberal
16114,Democrat (Weakly Democratic),Liberal
16115,Independent,Slightly liberal
16119,Democrat (Strongly Democratic),Extremely liberal
16123,Independent (Lean toward the Republican Party),Slightly conservative
16126,Democrat (Strongly Democratic),Liberal
16130,Republican (Weakly Republican),Slightly conservative
16132,Independent,Slightly liberal
16135,Democrat (Weakly Democratic),Slightly liberal
16140,Democrat (Strongly Democratic),Liberal
16141,Democrat (Strongly Democratic),Extremely liberal
16142,Independent (Lean toward the Democratic Party),Liberal
16143,Republican (Weakly Republican),Moderate
16151,Independent (Lean toward the Democratic Party),Slightly liberal
16152,Democrat (Strongly Democratic),Slightly liberal
16155,Independent (Lean toward the Democratic Party),Moderate
16157,Democrat (Strongly Democratic),Liberal
16160,Independent (Lean toward the Democratic Party),Slightly liberal
16162,Democrat (Strongly Democratic),Liberal
16169,Independent (Lean toward the Republican Party),Slightly liberal
16172,Democrat (Strongly Democratic),Slightly liberal
16178,Independent,Moderate
16179,Independent,Slightly conservative
16181,Democrat (Strongly Democratic),Extremely liberal
16183,Democrat (Strongly Democratic),Liberal
16189,Independent (Lean toward the Democratic Party),Slightly liberal
16191,Democrat (Strongly Democratic),Extremely liberal
16192,Independent (Lean toward the Republican Party),Slightly conservative
16201,Independent (Lean toward the Democratic Party),Moderate
16202,Republican (Strongly Republican),Extremely conservative
16222,Democrat (Weakly Democratic),Slightly liberal
16225,Democrat (Weakly Democratic),Liberal
16226,Democrat (Weakly Democratic),Slightly liberal
16227,Republican (Weakly Republican),Slightly conservative
16232,Independent,Slightly liberal
16236,Democrat (Strongly Democratic),Extremely liberal
16239,Independent,Liberal
16240,Independent (Lean toward the Democratic Party),Liberal
16247,Democrat (Strongly Democratic),Extremely liberal
16249,Independent (Lean toward the Republican Party),Moderate
16252,Independent,Moderate
16253,Democrat (Weakly Democratic),Liberal
16254,Democrat (Weakly Democratic),Extremely liberal
16259,Democrat (Strongly Democratic),Liberal
16260,Democrat (Strongly Democratic),Slightly liberal
16274,Democrat (Strongly Democratic),Liberal
16277,Democrat (Weakly Democratic),Liberal
16280,Democrat (Weakly Democratic),Slightly liberal
16281,Democrat (Strongly Democratic),Liberal
16282,Democrat (Strongly Democratic),Liberal
16291,Independent,Slightly conservative
16294,Democrat (Strongly Democratic),Extremely liberal
16297,Democrat (Strongly Democratic),Liberal
16301,Republican (Weakly Republican),Slightly conservative
16302,Independent,Moderate
16303,Independent (Lean toward the Democratic Party),Liberal
16306,Republican (Weakly Republican),Moderate
16320,Democrat (Strongly Democratic),Extremely liberal
16328,Democrat (Weakly Democratic),Slightly liberal
16333,Independent (Lean toward the Democratic Party),Moderate
16334,Independent (Lean toward the Democratic Party),Slightly liberal
16349,Independent,Extremely liberal
16350,Democrat (Strongly Democratic),Liberal
16352,Republican (Strongly Republican),Conservative
16357,Independent,Liberal
16359,Independent (Lean toward the Republican Party),Slightly liberal
16360,Republican (Strongly Republican),Extremely conservative
16364,Republican (Weakly Republican),Conservative
16368,Democrat (Strongly Democratic),Liberal
16371,Democrat (Strongly Democratic),Extremely liberal
16372,Independent (Lean toward the Democratic Party),Liberal
16377,Republican (Strongly Republican),Conservative
16385,Democrat (Strongly Democratic),Liberal
16386,Democrat (Strongly Democratic),Extremely liberal
16388,Independent (Lean toward the Democratic Party),Liberal
16393,Republican (Strongly Republican),Conservative
16399,Democrat (Weakly Democratic),Liberal
16401,Independent,Moderate
16402,Democrat (Strongly Democratic),Liberal
16403,Independent (Lean toward the Democratic Party),Moderate
16419,Independent (Lean toward the Republican Party),Slightly conservative
16422,Democrat (Weakly Democratic),Liberal
16432,Independent (Lean toward the Republican Party),Slightly conservative
16438,Democrat (Weakly Democratic),Slightly liberal
16439,Republican (Strongly Republican),Extremely conservative
16446,Independent,Conservative
16450,Republican (Strongly Republican),Conservative
16460,Democrat (Strongly Democratic),Extremely liberal
16462,Independent,Liberal
16463,Democrat (Strongly Democratic),Conservative
16466,Democrat (Strongly Democratic),Extremely liberal
16471,Democrat (Strongly Democratic),Slightly liberal
16472,Independent (Lean toward the Republican Party),Moderate
16475,Democrat (Strongly Democratic),Liberal
16476,Independent,Slightly liberal
16477,Republican (Weakly Republican),Conservative
16478,Democrat (Strongly Democratic),Liberal
16479,Independent (Lean toward the Republican Party),Conservative
16483,Democrat (Strongly Democratic),Liberal
16510,Republican (Weakly Republican),Moderate
16518,Independent,Moderate
16523,Independent (Lean toward the Republican Party),Conservative
16526,Democrat (Weakly Democratic),Liberal
16527,Democrat (Weakly Democratic),Extremely liberal
16528,Independent (Lean toward the Democratic Party),Liberal
16531,Democrat (Strongly Democratic),Liberal
16532,Republican (Weakly Republican),Extremely liberal
16541,Independent (Lean toward the Democratic Party),Moderate
16542,Independent,Moderate
16543,Democrat (Strongly Democratic),Extremely liberal
16548,Democrat (Strongly Democratic),Liberal
16554,Democrat (Strongly Democratic),Liberal
16556,Democrat (Strongly Democratic),Moderate
16558,Democrat (Strongly Democratic),Liberal
16560,Democrat (Weakly Democratic),Liberal
16563,Democrat (Strongly Democratic),Extremely liberal
16567,Independent,Slightly conservative
16569,Independent (Lean toward the Republican Party),Slightly conservative
16578,Republican (Weakly Republican),Slightly conservative
16596,Democrat (Strongly Democratic),Liberal
16598,Republican (Weakly Republican),Slightly conservative
16603,Independent,Extremely liberal
16606,Republican (Weakly Republican),Conservative
16613,Independent (Lean toward the Republican Party),Slightly conservative
16614,Democrat (Strongly Democratic),Extremely liberal
16615,Democrat (Strongly Democratic),Liberal
16616,Independent (Lean toward the Democratic Party),Liberal
16625,Independent,Moderate
16644,Democrat (Weakly Democratic),Slightly liberal
16647,Democrat (Strongly Democratic),Liberal
16648,Independent (Lean toward the Democratic Party),Slightly liberal
16650,Democrat (Weakly Democratic),Liberal
16656,Republican (Strongly Republican),Conservative
16660,Republican (Weakly Republican),Moderate
16666,Independent,Moderate
16667,Democrat (Strongly Democratic),Liberal
16672,Independent,Slightly liberal
16678,Democrat (Strongly Democratic),Liberal
16679,Democrat (Strongly Democratic),Liberal
16680,Democrat (Weakly Democratic),Liberal
16684,Republican (Strongly Republican),Conservative
16694,Independent (Lean toward the Democratic Party),Liberal
16695,Independent,Moderate
16696,Independent (Lean toward the Democratic Party),Moderate
16707,Independent (Lean toward the Democratic Party),Slightly liberal
16711,Democrat (Strongly Democratic),Liberal
16712,Democrat (Strongly Democratic),Liberal
16718,Democrat (Strongly Democratic),Liberal
16723,Democrat (Weakly Democratic),Slightly liberal
16728,Democrat (Weakly Democratic),Slightly liberal
16729,Independent (Lean toward the Democratic Party),Slightly liberal
16731,Democrat (Strongly Democratic),Liberal
16732,Democrat (Weakly Democratic),Liberal
16735,Independent,Extremely liberal
16740,Independent (Lean toward the Democratic Party),Slightly liberal
16741,Independent (Lean toward the Republican Party),Conservative
16756,Independent (Lean toward the Republican Party),Slightly conservative
16766,Democrat (Weakly Democratic),Liberal
16772,Democrat (Weakly Democratic),Liberal
16773,Democrat (Strongly Democratic),Moderate
16780,Democrat (Strongly Democratic),Extremely liberal
16783,Independent (Lean toward the Democratic Party),Moderate
16800,Democrat (Strongly Democratic),Liberal
16803,Independent (Lean toward the Democratic Party),Slightly liberal
16805,Democrat (Strongly Democratic),Liberal
16810,Independent,Slightly liberal
16817,Democrat (Strongly Democratic),Liberal
16822,Democrat (Weakly Democratic),Slightly liberal
16825,Democrat (Weakly Democratic),Extremely liberal
16826,Independent,Liberal
16829,Republican (Strongly Republican),Extremely conservative
16838,Democrat (Weakly Democratic),Moderate
16841,Independent (Lean toward the Democratic Party),Extremely liberal
16842,Independent,Moderate
16843,Independent (Lean toward the Democratic Party),Slightly liberal
16847,Democrat (Weakly Democratic),Slightly liberal
16848,Independent (Lean toward the Democratic Party),Moderate
16854,Republican (Strongly Republican),Extremely conservative
16856,Democrat (Strongly Democratic),Liberal
16865,Independent (Lean toward the Democratic Party),Slightly conservative
16868,Republican (Strongly Republican),Conservative
16873,Republican (Strongly Republican),Conservative
16875,Democrat (Strongly Democratic),Extremely liberal
16879,Independent,Moderate
16886,Democrat (Weakly Democratic),Slightly liberal
16896,Independent,Liberal
16901,Democrat (Weakly Democratic),Liberal
16904,Independent,Moderate
16907,Independent (Lean toward the Republican Party),Conservative
16911,Democrat (Strongly Democratic),Liberal
16916,Independent (Lean toward the Democratic Party),Slightly liberal
16922,Democrat (Strongly Democratic),Liberal
16923,Independent (Lean toward the Republican Party),Moderate
16924,Democrat (Weakly Democratic),Liberal
